YEAR,TEAM,SEED,ROUND,CURRENT ROUND,SCORE
2017,Purdue,4,16,64,80
2017,Vermont,13,64,64,70
2017,Creighton,6,64,64,72
2017,Rhode Island,11,32,64,84
2017,Oregon,3,4,64,93
2017,Iona,14,64,64,77
2017,Michigan,7,16,64,92
2017,Oklahoma St.,10,64,64,91
2017,Louisville,2,32,64,78
2017,Jacksonville St.,15,64,64,63
2017,North Carolina,1,1,64,103
2017,Texas Southern,16,64,64,64
2017,Arkansas,8,32,64,77
2017,Seton Hall,9,64,64,71
2017,Minnesota,5,64,64,72
2017,Middle Tennessee,12,32,64,81
2017,Butler,4,16,64,76
2017,Winthrop,13,64,64,64
2017,Cincinnati,6,32,64,75
2017,Kansas St.,11,64,64,61
2017,UCLA,3,16,64,97
2017,Kent St.,14,64,64,80
2017,Dayton,7,64,64,58
2017,Wichita St.,10,32,64,64
2017,Kentucky,2,8,64,79
2017,Northern Kentucky,15,64,64,70
