YEAR,CURRENT_ROUND,TEAM_A,SEED_A,FARTHEST_ROUND_A,SCORE_A,TEAM_B,SEED_B,FARTHEST_ROUND_B,SCORE_B,WINNER_TEAM
2018,32,Nevada,7,16,75,Cincinnati,2,32,73,Nevada
2018,32,Xavier,1,32,70,Florida St.,9,8,75,Florida St.
2018,32,Ohio St.,5,32,84,Gonzaga,4,16,90,Gonzaga
2018,32,Houston,6,32,63,Michigan,3,2,64,Michigan
2018,32,Texas A&M,7,16,86,North Carolina,2,32,65,Texas A&M
2018,32,Villanova,1,1,81,Alabama,9,32,58,Villanova
2018,32,West Virginia,5,16,94,Marshall,13,32,71,West Virginia
2018,32,Florida,6,32,66,Texas Tech,3,8,69,Texas Tech
2018,32,Butler,10,32,73,Purdue,2,16,76,Purdue
2018,32,Kansas,1,4,83,Seton Hall,8,32,79,Kansas
2018,32,Clemson,5,16,84,Auburn,4,32,53,Clemson
2018,32,Syracuse,11,16,55,Michigan St.,3,32,53,Syracuse
2018,32,Rhode Island,7,32,62,Duke,2,8,87,Duke
2018,16,Kansas St.,9,8,61,Kentucky,5,16,58,Kansas St.
2018,16,Loyola Chicago,11,4,69,Nevada,7,16,68,Loyola Chicago
2018,16,Florida St.,9,8,75,Gonzaga,4,16,60,Florida St.
2018,16,Michigan,3,2,99,Texas A&M,7,16,72,Michigan
2018,16,Villanova,1,1,90,West Virginia,5,16,78,Villanova
2018,16,Texas Tech,3,8,78,Purdue,2,16,65,Texas Tech
2018,16,Kansas,1,4,80,Clemson,5,16,76,Kansas
2018,16,Syracuse,11,16,65,Duke,2,8,69,Duke
2018,8,Kansas St.,9,8,62,Loyola Chicago,11,4,78,Loyola Chicago
2018,8,Florida St.,9,8,54,Michigan,3,2,58,Michigan
2018,8,Villanova,1,1,71,Texas Tech,3,8,59,Villanova
2018,8,Kansas,1,4,85,Duke,2,8,81,Kansas
2018,4,Loyola Chicago,11,4,57,Michigan,3,2,69,Michigan
2018,4,Villanova,1,1,95,Kansas,1,4,79,Villanova
2018,2,Michigan,3,2,62,Villanova,1,1,79,Villanova
2017,64,Villanova,1,32,76,Mount St. Mary's,16,64,56,Villanova
2017,64,Wisconsin,8,16,84,Virginia Tech,9,64,74,Wisconsin
2017,64,Virginia,5,32,76,UNC Wilmington,12,64,71,Virginia
2017,64,Florida,4,8,80,East Tennessee St.,13,64,65,Florida
2017,64,SMU,6,64,65,USC,11,32,66,USC
2017,64,Baylor,3,16,91,New Mexico St.,14,64,73,Baylor
2017,64,South Carolina,7,4,93,Marquette,10,64,73,South Carolina
2017,64,Duke,2,32,87,Troy,15,64,65,Duke
2017,64,Gonzaga,1,2,66,South Dakota St.,16,64,46,Gonzaga
2017,64,Northwestern,8,32,68,Vanderbilt,9,64,66,Northwestern
2017,64,Notre Dame,5,32,60,Princeton,12,64,58,Notre Dame
2017,64,West Virginia,4,16,86,Bucknell,13,64,80,West Virginia
2017,64,Maryland,6,64,65,Xavier,11,8,76,Xavier
2017,64,Florida St.,3,32,86,Florida Gulf Coast,14,64,80,Florida St.
2017,64,Saint Mary's,7,32,85,VCU,10,64,77,Saint Mary's
